state,institution,state_full,cares_act,omnibus,amer_rescue_act,total_relief,endowment,code
CA,Diablo Valley College,California,6679277,13947135,24804000,45430412,0,119100
CA,"California State University, Monterey Bay",California,8459727,13455716,23461000,45376443,0,3260300
CA,California Baptist University,California,7913118,13577444,23756000,45246562,65618000,112500
FL,Pasco - Hernando State College,Florida,6574907,13965491,24418000,44958398,0,1065200
WI,University Of Wisconsin - Whitewater,Wisconsin,8169773,12907818,23878000,44955591,0,392600
LA,Baton Rouge Community College,Louisiana,6420025,14020032,24419000,44859057,0,3730300
WA,Central Washington University,Washington,7695384,13588432,23572000,44855816,0,377100
CA,San Diego Mesa College,California,5911519,13992119,24888000,44791638,0,127500
CA,Merced Community College,California,6536491,13763999,24120000,44420490,0,123700
NY,Cuny Medgar Evers College,New York,7109437,13615664,23689000,44414101,0,1009700
SC,Greenville Technical College,South Carolina,6663667,13723584,23994000,44381251,0,399100
NY,Pace University,New York,8562106,12938858,22868000,44368964,193049000,279100
IL,Northwestern University,Illinois,8521175,12775920,22993000,44290095,11091516000,173900
SC,Trident Technical College,South Carolina,6568275,13700146,24010000,44278421,0,492000
IA,Kirkwood Community College,Iowa,6336610,13718324,24116000,44170934,0,407600
GA,Savannah College Of Art And Design,Georgia,8209651,12972158,22938000,44119809,0,2141500
DC,Howard University,District of Columbia,8723244,12747281,22324000,43794525,692832000,144800
PR,Inter American University Of Puerto Rico - Aguadilla Campus,Puerto Rico,8125496,12904606,22341000,43371102,0,393900
CA,Los Angeles Trade-Technical College,California,5124229,13850786,24378000,43353015,0,122700
IN,Purdue University Global,Indiana,816781,15423168,27103000,43342949,0,458600
IL,Western Illinois University,Illinois,7997093,12857820,22455000,43309913,0,178000
ID,Idaho State University,Idaho,7097839,13094512,23001000,43193351,0,162000
CA,Cosumnes River College,California,5574947,13570233,23910000,43055180,0,753600
FL,Polk State College,Florida,6116050,13292541,23258000,42666591,0,151400
NY,Suny College At Oswego,New York,7244716,12886557,22508000,42639273,0,284800
TX,Lamar University,Texas,7048774,12878096,22641000,42567870,26222000,358100
MO,University Of Missouri - Kansas City,Missouri,7062723,12791149,22638000,42491872,0,251800
CO,University Of Northern Colorado,Colorado,7650214,12601749,22205000,42456963,89775000,134900
NC,Fayetteville Technical Community College,North Carolina,5913774,13276771,23217000,42407545,0,764000
CA,Santa Rosa Junior College,California,5942841,13114035,23333000,42389876,0,128700
AR,Arkansas Tech University,Arkansas,7098986,12806406,22408000,42313392,0,108900
NY,Touro College,New York,7558879,12565306,22146000,42270185,0,1014200
TX,Texas A&M University - Commerce,Texas,7193156,12743661,22316000,42252817,0,356500
NY,Mercy College,New York,7046720,12742981,22286000,42075701,255751000,277200
NY,Suny College At Brockport,New York,7750148,12461885,21778000,41990033,0,284100
MT,University Of Montana (The),Montana,7652275,12405952,21796000,41854227,0,253600
NY,Fordham University,New York,8147184,12071949,21532000,41751133,733516000,272200
ME,University Of Maine,Maine,7603694,12814741,21233000,41651435,227085000,205300
CA,Los Angeles City College,California,5197272,13476393,22846000,41519665,0,122300
PA,Northampton County Area Community College,Pennsylvania,6039116,12847473,22454000,41340589,57014000,719100
PA,Bloomsburg University Of Pennsylvania,Pennsylvania,7906785,12137403,21259000,41303188,0,331500
CA,Miracosta College,California,5511006,12933970,22777000,41221976,0,123900
PR,Inter American University Of Puerto Rico - Ponce Campus,Puerto Rico,7526308,12302765,21324000,41153073,0,502900
FL,University Of Miami,Florida,8139089,11829536,21171000,41139625,0,153600
NY,State University Of New York At Farmingdale,New York,6154318,12645901,22339000,41139219,0,285800
NJ,Camden County College,New Jersey,5784112,12826935,22495000,41106047,0,686500
NJ,Brookdale Community College,New Jersey,6334411,12582654,22163000,41080065,0,840400
LA,Grambling State University,Louisiana,7010388,12427854,21600000,41038242,0,200600
GA,Georgia Military College,Georgia,5998679,12723116,22285000,41006795,0,157100
IA,University Of Northern Iowa,Iowa,7618737,12078044,21259000,40955781,129019000,189000
NY,Long Island University,New York,7007826,12239114,21670000,40916940,238973000,275100
FL,University Of West Florida (The),Florida,6801388,12369966,21717000,40888354,0,395500
FL,Pensacola State College,Florida,6004939,12679127,22177000,40861066,0,151300
RI,Rhode Island College,Rhode Island,7443916,12110287,21159000,40713203,0,340700
ND,North Dakota State University - Fargo,North Dakota,7728326,11906777,21024000,40659103,0,299700
TX,Texas A&M University - Kingsville,Texas,7087427,12173235,21281000,40541662,0,363900
OR,Chemeketa Community College,Oregon,5750738,12612572,22114000,40477310,0,321800
SC,College Of Charleston,South Carolina,7642022,11866554,20905000,40413576,100136000,342800
CO,Colorado Mesa University,Colorado,7068379,12116155,21213000,40397534,34875000,135800
IL,Harper College,Illinois,5526516,12582067,22281000,40389583,25382000,396100
KY,Jefferson Community And Technical College,Kentucky,5179693,12800342,22392000,40372035,0,696100
MI,University Of Michigan - Dearborn,Michigan,6989129,12130348,21231000,40350477,0,232600
MO,University Of Central Missouri,Missouri,6908319,12074346,21271000,40253665,0,245400
WI,Madison Area Technical College,Wisconsin,5500069,12510691,22095000,40105760,0,400700
NJ,Rowan College Of South Jersey,New Jersey,6557641,12793980,20637000,39988621,0,690100
WI,University Of Wisconsin - Oshkosh,Wisconsin,6207761,11441915,22157000,39806676,0,392000
PA,Delaware County Community College,Pennsylvania,5360154,12387247,22039000,39786401,0,711000
OK,Oklahoma City Community College,Oklahoma,5566700,12328985,21760000,39655685,0,1039100
MO,University Of Missouri - Saint Louis,Missouri,5830225,12190644,21566000,39586869,0,251900
IL,Joliet Junior College,Illinois,5497625,12291882,21773000,39562507,0,169900
UT,Dixie State University,Utah,6176699,12124489,21246000,39547188,0,367100
ID,University Of Idaho,Idaho,6905295,11786287,20753000,39444582,291868000,162600
GA,Gwinnett Technical College,Georgia,5336576,12417270,21682000,39435846,0,2288400
GA,Emory University,Georgia,7974341,11277994,20158000,39410335,7872381000,156400
TX,Central Texas College District,Texas,4544176,12611938,22185000,39341114,0,400300
FL,Nova Southeastern University,Florida,7157194,11510184,20494000,39161378,0,150900
PA,Kutztown University Of Pennsylvania,Pennsylvania,7424966,11533902,20190000,39148868,0,332200
PR,University Of Puerto Rico - Arecibo,Puerto Rico,7684735,11195711,19382000,38262446,0,722800
PR,Inter American University Of Puerto Rico - Arecibo Campus,Puerto Rico,7100104,11633980,20153000,38887084,0,502600
LA,Louisiana Tech University,Louisiana,7094887,11558542,20121000,38774429,0,200800
OH,Stark State College,Ohio,5036299,12228524,21385000,38649823,0,1088100
MO,Southeast Missouri State University,Missouri,6830214,11510345,20198000,38538559,0,250100
PA,Slippery Rock University,Pennsylvania,7354069,11285058,19805000,38444127,0,332700
CA,Santa Barbara City College,California,5767428,11790275,20856000,38413703,0,128500
MN,University Of Minnesota Duluth,Minnesota,7453951,11174098,19706000,38334049,0,238800
VA,Norfolk State University,Virginia,6901715,11451132,19898000,38250847,24435000,376500
MI,Saginaw Valley State University,Michigan,6911064,11372114,19912000,38195178,87436000,231400
WI,University Of Wisconsin - Eau Claire,Wisconsin,7091955,11056971,19990000,38138926,81094000,391700
GA,Clayton State University,Georgia,6165671,11647843,20280000,38093514,0,897600
CA,Stanford University,California,7376668,10890455,19630000,37897123,27699834000,130500
KS,Johnson County Community College,Kansas,5080285,11797233,21010000,37887518,0,824400
MI,Washtenaw Community College,Michigan,4968890,11902486,20985000,37856376,0,232800
NJ,Passaic County Community College,New Jersey,5451658,11803091,20591000,37845749,0,999400
IL,Harold Washington College,Illinois,5708949,11637196,20372000,37718145,0,165200
MI,Lansing Community College,Michigan,5804315,11559366,20306000,37669681,0,227800
AK,University Of Alaska Anchorage,Alaska,5445184,11625475,20584000,37654659,0,1146200
PR,University Of Puerto Rico Bayamon Technical University College,Puerto Rico,6991670,11082944,19567000,37641614,0,1097500
