state,institution,state_full,cares_act,omnibus,amer_rescue_act,total_relief,endowment,code
KY,Union College,Kentucky,1308850,1956695,3416000,6681545,0,198800
ME,Colby College,Maine,1244996,1803716,3275000,6323712,869927000,203900
WV,West Virginia Wesleyan College,West Virginia,1242558,1847605,3232000,6322163,0,383000
NC,Bladen Community College,North Carolina,861961,1987811,3465000,6314772,0,798700
FL,Florida Polytechnic University,Florida,1253303,1838614,3221000,6312917,0,4263400
TX,Southern Careers Institute,Texas,6305240,0,0,6305240,0,3035300
OH,Antioch University,Ohio,1107211,1813557,3363000,6283768,0,301000
NY,Hamilton College,New York,1189507,1837979,3254000,6281486,969362000,272800
IA,Iowa Lakes Community College,Iowa,966888,1921737,3389000,6277625,0,186400
NY,Asa College,New York,6272628,0,0,6272628,0,3095500
WI,Mount Mary University,Wisconsin,1157273,1857770,3250000,6265043,0,386900
NC,College Of The Albemarle,North Carolina,909714,1936881,3411000,6257595,0,291700
TX,Southwestern University,Texas,1213449,1828552,3214000,6256001,296413000,362000
SD,Augustana University,South Dakota,1215394,1816774,3213000,6245168,0,345800
KS,Labette Community College,Kansas,812240,1961626,3471000,6244866,0,193000
NC,Barton College,North Carolina,1161318,1847742,3223000,6232060,0,290800
OH,Heidelberg University,Ohio,1190956,1831777,3206000,6228733,51987000,304800
IA,Morningside College,Iowa,1147631,1832741,3232000,6212372,46271000,187900
MI,College For Creative Studies,Michigan,1136489,1841570,3228000,6206059,0,677100
NY,Houghton College,New York,1272224,1798688,3135000,6205912,57372000,273400
TX,Clarendon College,Texas,885687,1913765,3388000,6187452,0,355400
VT,Saint Michael'S College,Vermont,1186800,1795756,3195000,6177556,89061000,369400
CA,Notre Dame De Namur University,California,1121450,1836201,3219000,6176651,0,117900
MA,Massachusetts Maritime Academy,Massachusetts,1242689,1739892,3177000,6159581,0,218100
MA,Dean College,Massachusetts,1087115,1840110,3225000,6152225,0,214400
SD,University Of Sioux Falls,South Dakota,1036173,1853841,3259000,6149014,30327000,346900
KS,Haskell Indian Nations University,Kansas,1111478,1837814,3195000,6144292,0,1043800
OH,Washington State Community College,Ohio,926232,1892309,3319000,6137541,0,1045300
WI,Cardinal Stritch University,Wisconsin,1031055,1849327,3256000,6136382,0,383700
FL,Manatee Technical College,Florida,1015473,1851459,3253000,6119932,0,561200
SC,Coker University,South Carolina,1147692,1809360,3161000,6118052,45680000,342700
